k,Omega_over_k
2.029443893369366560e+04,6.768750009458541284e-09
2.048686048133599616e+04,6.509675230458164022e-09
2.068110647222205807e+04,6.509675230458164022e-09
2.087719420479468317e+04,6.260516572014827542e-09
2.107514114151173999e+04,6.260516572014827542e-09
2.127496491040132241e+04,6.260516572014827542e-09
2.147668330663153029e+04,6.020894493336125520e-09
2.168031429409509656e+04,6.020894493336125520e-09
2.188587600700925395e+04,5.790443980602494846e-09
2.209338675153079748e+04,5.790443980602494846e-09
2.230286500738604445e+04,5.790443980602494846e-09
2.251432942951668883e+04,5.568813990945266967e-09
2.272779884974117522e+04,5.355666917706907592e-09
2.294329227843167610e+04,5.355666917706907592e-09
2.316082890620695616e+04,5.355666917706907592e-09
2.338042810564145839e+04,5.355666917706907592e-09
2.360210943299061910e+04,5.150678076168121764e-09
2.382589262993239754e+04,4.953535208959160084e-09
2.405179762532499808e+04,4.953535208959160084e-09
2.427984453698222933e+04,4.953535208959160084e-09
2.451005367346472121e+04,4.953535208959160084e-09
2.474244553588844792e+04,4.763938010401341021e-09
2.497704081975053487e+04,4.763938010401341021e-09
2.521386041677238973e+04,4.581597669054500031e-09
2.545292541676009932e+04,4.581597669054500031e-09
2.569425710948245614e+04,4.581597669054500031e-09
2.593787698656701468e+04,4.406236427773572549e-09
2.618380674341416670e+04,4.237587160604054649e-09
2.643206828112889707e+04,4.237587160604054649e-09
2.668268370847132610e+04,4.237587160604054649e-09
2.693567534382570739e+04,4.237587160604054649e-09
2.719106571718785926e+04,4.075392965871778262e-09
2.744887757217144463e+04,3.919406774847229273e-09
2.770913386803351023e+04,3.919406774847229273e-09
2.797185778171926722e+04,3.919406774847229273e-09
2.823707270992576377e+04,3.769390975388363623e-09
2.850480227118562834e+04,3.625117049988527707e-09
2.877507030797050902e+04,3.625117049988527707e-09
2.904790088881426345e+04,3.625117049988527707e-09
2.932331831045620856e+04,3.486365227678087763e-09
2.960134710000499399e+04,3.352924149249552918e-09
2.988201201712295733e+04,3.352924149249552918e-09
3.045135044873413426e+04,3.224590545296398020e-09
3.074007466526894859e+04,3.224590545296398020e-09
3.103153641797168530e+04,3.101168926574775306e-09
3.132576166276784352e+04,3.101168926574775306e-09
3.162277660168379225e+04,3.101168926574775306e-09
3.192260768518032637e+04,2.982471286216894119e-09
3.222528161450805055e+04,2.868316813342008956e-09
3.253082534408512220e+04,2.868316813342008956e-09
3.283926608389776811e+04,2.868316813342008956e-09
3.315063130192369135e+04,2.758531617629186798e-09
3.346494872657774977e+04,2.652948464431894539e-09
3.378224634918156517e+04,2.652948464431894539e-09
3.410255242645634280e+04,2.652948464431894539e-09
3.442589548303915944e+04,2.551406520031282098e-09
3.475230431402304384e+04,2.453751106639816899e-09
3.508180798752146802e+04,2.453751106639816899e-09
3.541443584725708934e+04,2.453751106639816899e-09
3.575021751517484518e+04,2.359833466782198407e-09
3.608918289407972043e+04,2.269510536694668452e-09
3.643136217029989348e+04,2.269510536694668452e-09
3.677678581637518801e+04,2.182644728397482734e-09
3.712548459377030667e+04,2.099103720108554579e-09
3.747748955561452749e+04,2.099103720108554579e-09
3.783283204946725164e+04,2.099103720108554579e-09
3.819154372010949737e+04,2.018760254679042925e-09
3.855365651236185658e+04,1.941491945743881832e-09
3.891920267392943788e+04,1.941491945743881832e-09
3.928821475827394170e+04,1.867181091291917000e-09
3.966072562751219084e+04,1.795714494371640997e-09
4.003676845534289168e+04,1.795714494371640997e-09
4.079958425724005792e+04,1.660882782627716578e-09
4.118642516334213724e+04,1.660882782627716578e-09
4.157693389815754199e+04,1.597312280060252416e-09
4.197114523817265581e+04,1.536174946671829713e-09
4.236909428960690275e+04,1.536174946671829713e-09
4.277081649153850594e+04,1.477377652598509721e-09
4.317634761906152562e+04,1.420830832533923794e-09
4.358572378647117876e+04,1.366448349295324281e-09
4.399898145047988510e+04,1.314147362611758142e-09
4.441615741346407594e+04,1.314147362611758142e-09
4.483728882674175838e+04,1.263848202934297263e-09
4.526241319388085685e+04,1.215474250076288440e-09
4.569156837403886311e+04,1.215474250076288440e-09
4.612479258533454413e+04,1.168951816498577577e-09
4.656212440825170779e+04,1.124210035062083875e-09
4.700360278907441534e+04,1.081180751076607842e-09
4.744926704335556860e+04,1.039798418481492086e-09
4.789915685941834090e+04,1.000000000000000062e-09
4.835331230189040070e+04,9.617248711152944912e-10
4.881177381527165562e+04,9.249147277217334989e-10
4.927458222753616428e+04,8.895134973108254281e-10
4.974177875376839074e+04,8.554672535565684018e-10
5.021340499983295740e+04,8.227241341700456886e-10
5.117011505108632264e+04,7.609496685459899035e-10
5.165528405542972905e+04,7.318242219076181236e-10
5.214505318550160882e+04,7.038135554931547295e-10
5.263946605735425692e+04,6.768750009458513573e-10
5.313856670058541204e+04,6.509675230458164229e-10
5.364239956225905917e+04,6.260516572014828369e-10
5.415100951086341956e+04,6.020894493336125106e-10
5.466444184030689939e+04,5.790443980602471478e-10
5.518274227395204070e+04,5.568813990945267174e-10
5.570595696868670348e+04,5.355666917706907178e-10
5.623413251903490891e+04,4.953535208959160291e-10
5.676731596130645630e+04,4.763938010401340400e-10
5.730555477778552449e+04,4.581597669054500238e-10
5.784889690095892729e+04,4.406236427773572963e-10
5.839739071778493235e+04,4.237587160604054855e-10
