k,Omega_over_k
2.960134710000499581e+03,2.982471286216893964e-15
3.222528161450804873e+03,2.182644728397491627e-15
3.253082534408511947e+03,2.099103720108554608e-15
3.283926608389776902e+03,2.099103720108554608e-15
3.315063130192369044e+03,2.018760254679034629e-15
3.346494872657768610e+03,1.941491945743881599e-15
3.378224634918156426e+03,1.941491945743881599e-15
3.410255242645637736e+03,1.867181091291917013e-15
3.442589548303915763e+03,1.795714494371640857e-15
3.475230431402300837e+03,1.726983290659432408e-15
3.508180798752146529e+03,1.660882782627716554e-15
3.819154372010949828e+03,1.263848202934297062e-15
3.891920267392943515e+03,1.168951816498577626e-15
4.656212440825171143e+03,6.260516572014827903e-16
4.789915685941839001e+03,5.568813990945267502e-16
4.835331230189040070e+03,5.568813990945267502e-16
4.881177381527165380e+03,5.355666917706907443e-16
4.974177875376839438e+03,5.150678076168121622e-16
5.068950296608012650e+03,4.763938010401340503e-16
5.117011505108637721e+03,4.581597669054481342e-16
5.165528405542972905e+03,4.406236427773572661e-16
5.214505318550155607e+03,4.237587160604055067e-16
5.263946605735425692e+03,4.075392965871777781e-16
5.313856670058552481e+03,4.075392965871777781e-16
5.364239956225906099e+03,3.919406774847213331e-16
5.415100951086342320e+03,3.769390975388363445e-16
5.466444184030689939e+03,3.625117049988527856e-16
5.518274227395203525e+03,3.486365227678087776e-16
5.570595696868665073e+03,3.486365227678087776e-16
5.623413251903491073e+03,3.224590545296398021e-16
5.676731596130651269e+03,3.224590545296398021e-16
5.784889690095892547e+03,3.101168926574775571e-16
5.839739071778493781e+03,2.868316813342009044e-16
5.895108507400270355e+03,2.758531617629187001e-16
5.951002927848136096e+03,2.758531617629187001e-16
6.007427310761214358e+03,2.652948464431894549e-16
6.121886110964048385e+03,2.453751106639816586e-16
6.179930721303395330e+03,2.359833466782198597e-16
6.238525681114844701e+03,2.269510536694668443e-16
6.297676208532175224e+03,2.182644728397491578e-16
6.357387571164828842e+03,2.099103720108554559e-16
6.417665086567087201e+03,2.018760254679034679e-16
6.478514122711522759e+03,2.018760254679034679e-16
6.539940098467149255e+03,2.018760254679034679e-16
6.601948484081890456e+03,1.867181091291916816e-16
6.664544801669809203e+03,1.867181091291916816e-16
6.727734625702833910e+03,1.795714494371641005e-16
6.791523583507204421e+03,1.726983290659432605e-16
6.855917355764610875e+03,1.660882782627716653e-16
6.920921677018050104e+03,1.597312280060252407e-16
6.986542336182587860e+03,1.536174946671829632e-16
7.119656098863211810e+03,1.420830832533923833e-16
7.187161056733717487e+03,1.366448349295324406e-16
7.255306062279816615e+03,1.366448349295324406e-16
7.324097184108021793e+03,1.314147362611758020e-16
7.393540548364288043e+03,1.263848202934297210e-16
7.463642339279575936e+03,1.215474250076288452e-16
7.534408799720549723e+03,1.168951816498577577e-16
7.605846231745612386e+03,1.168951816498577577e-16
7.677960997166025663e+03,1.124210035062088504e-16
7.750759518112540718e+03,1.081180751076607743e-16
7.824248277607280215e+03,1.039798418481492153e-16
7.898433820141081924e+03,9.999999999999999791e-17
7.973322752256319291e+03,9.617248711152944191e-17
8.125237525193892907e+03,9.249147277217296827e-17
8.202276894681639533e+03,8.895134973108181569e-17
8.280046712286477486e+03,8.554672535565684479e-17
8.358553903745903881e+03,8.227241341700456839e-17
8.437805460463763666e+03,7.912342618981358974e-17
8.517808440132836040e+03,7.609496685459898513e-17
8.598569967363346223e+03,7.318242219076181231e-17
8.680097234317461698e+03,7.318242219076181231e-17
8.762397501349740196e+03,7.038135554931547608e-17
8.845478097653787700e+03,6.768750009458514031e-17
8.929346421914826351e+03,6.509675230458137306e-17
9.014009942968719770e+03,6.260516572014827656e-17
9.185752805548254400e+03,6.020894493336125982e-17
9.272847441516196341e+03,5.790443980602518350e-17
9.360767864523582830e+03,5.568813990945289442e-17
9.449521904263117904e+03,5.355666917706907690e-17
9.539117464664621366e+03,5.150678076168121869e-17
9.629562524599030439e+03,4.953535208959159960e-17
9.720865138588796981e+03,4.953535208959159960e-17
